page_url,revenue_millions,industry,year_founded,employees
https://www.inc.com/profile/scientistcom,97.4,Health,2007,NA
https://www.inc.com/profile/hennessey-consulting,2.6,Advertising & Marketing,2015,15
https://www.inc.com/profile/meleeo,6.1,Business Products & Services,2015,60
https://www.inc.com/profile/sna-international,9.8,Government Services,2002,175
https://www.inc.com/profile/staymobile,20.8,Retail,2014,90
https://www.inc.com/profile/TISSINI,3.6,Retail,2015,63
https://www.inc.com/profile/privateer-it,2.2,IT Management,2014,22
https://www.inc.com/profile/discussio,6.3,Software,2012,44
https://www.inc.com/profile/dollar-fulfillment,9.1,Logistics & Transportation,2008,15
https://www.inc.com/profile/domino-data-lab,11.8,Software,2013,102
https://www.inc.com/profile/lyfe-marketing,3.2,Advertising & Marketing,2011,35
https://www.inc.com/profile/alivi,14.1,Health,2012,100
https://www.inc.com/profile/eetech-media,6.6,Media,2015,20
https://www.inc.com/profile/gravis-law,2.7,Consumer Products & Services,2014,46
https://www.inc.com/profile/cousins-logistics,47.1,Logistics & Transportation,2014,55
https://www.inc.com/profile/position2,65.2,Advertising & Marketing,2005,203
https://www.inc.com/profile/bentobox-cms,4.4,Software,2013,80
https://www.inc.com/profile/symbol-health-solutions,7.7,Health,2012,60
https://www.inc.com/profile/crisp-video-group,16.1,Advertising & Marketing,2012,36
https://www.inc.com/profile/sand-cloud,6.8,Retail,2014,19
https://www.inc.com/profile/wrapify,2.9,Advertising & Marketing,2015,NA
https://www.inc.com/profile/iuvo-logistics,3.4,Logistics & Transportation,2012,23
https://www.inc.com/profile/group-10-capital,5.8,Real Estate,2014,6
https://www.inc.com/profile/basemakers,3.2,Business Products & Services,2015,55
https://www.inc.com/profile/tossware,5.3,Consumer Products & Services,2014,15
https://www.inc.com/profile/360ia,2,Software,2015,41
https://www.inc.com/profile/nextgen-leads,35.7,Advertising & Marketing,2014,NA
https://www.inc.com/profile/coltoncooper,9.9,Logistics & Transportation,2015,11
https://www.inc.com/profile/handle,2.3,Health,2015,20
https://www.inc.com/profile/bestself-ventures,5.8,Consumer Products & Services,2015,10
https://www.inc.com/profile/tazkai,2.8,Education,2014,15
https://www.inc.com/profile/cumulus-networks,25.1,Software,2010,179
https://www.inc.com/profile/opploans,134.2,Financial Services,2012,308
https://www.inc.com/profile/common-thread-collective,5,Advertising & Marketing,2014,47
https://www.inc.com/profile/cloudbeds,8.2,Software,2012,NA
https://www.inc.com/profile/vested-metals-international,2.6,Manufacturing,2014,6
https://www.inc.com/profile/platt-cheema-richmond-pllc,2.3,Real Estate,2015,14
https://www.inc.com/profile/revelry,3.8,Retail,2009,10
https://www.inc.com/profile/qos-networks,6.8,IT Management,2012,24
https://www.inc.com/profile/koddi,27.3,Software,2013,101
https://www.inc.com/profile/change-media-group,9.7,Advertising & Marketing,2012,18
https://www.inc.com/profile/bldg-25,2.9,Software,2015,25
https://www.inc.com/profile/dropoff,16.2,Logistics & Transportation,2014,NA
https://www.inc.com/profile/modavate,2,Advertising & Marketing,2007,12
https://www.inc.com/profile/arcus-financial-intelligence,3.4,Financial Services,2013,54
https://www.inc.com/profile/digital-resource,4,Advertising & Marketing,2014,NA
https://www.inc.com/profile/girikon,2.8,IT Management,2015,140
https://www.inc.com/profile/liberty-rent-guarantee,2.2,Real Estate,2014,12
https://www.inc.com/profile/inflowlogistics,3.7,Government Services,2014,41
https://www.inc.com/profile/pymetrics,5.7,Software,2013,80
https://www.inc.com/profile/madewell-construction,6,Construction,2014,9
https://www.inc.com/profile/power-target,2,Energy,2011,5
https://www.inc.com/profile/bidwise,2.2,Advertising & Marketing,2015,7
https://www.inc.com/profile/wavicle-data-solutions,12.4,IT System Development,2013,171
https://www.inc.com/profile/red-seat-ventures,4.3,Media,2015,25
https://www.inc.com/profile/recommerce,33.8,Advertising & Marketing,2013,60
https://www.inc.com/profile/design-pickle,7.2,Business Products & Services,2015,230
https://www.inc.com/profile/hyperice,64.3,Consumer Products & Services,2010,21
https://www.inc.com/profile/synfiny-advisors,2.7,Business Products & Services,2014,2
https://www.inc.com/profile/mns1-express,29.1,Logistics & Transportation,2011,15
https://www.inc.com/profile/tomboyx,10.4,Consumer Products & Services,2013,18
https://www.inc.com/profile/shoppad,2.3,Software,2012,19
https://www.inc.com/profile/carta,35.3,Financial Services,2012,400
https://www.inc.com/profile/snacknation,24.2,Food & Beverage,2014,166
https://www.inc.com/profile/staffing-as-a-mission,5.7,Business Products & Services,2014,15
https://www.inc.com/profile/azure-knowledge,19.7,Business Products & Services,2010,185
https://www.inc.com/profile/element78-partners,2.9,Financial Services,2015,16
https://www.inc.com/profile/invibe-labs,2.3,Business Products & Services,2013,8
https://www.inc.com/profile/simplenexus,8,Software,2014,100
https://www.inc.com/profile/the-language-group,8.1,Business Products & Services,1999,27
https://www.inc.com/profile/green-bits,5.9,Software,2014,80
https://www.inc.com/profile/m2m-in-motion,2.1,Software,2013,17
