page_url,revenue_millions,industry,year_founded,employees,website,Revenue,3 Years Growth,Traffic Overview,% Search Traffic,Is Homepage Secure?,id
https://www.inc.com/profile/kinsmen-group,4,Software,2015,21,kinsmengroup.com,4 M,2668%,50000,100.00%,Secure,136
https://www.inc.com/profile/owens-recovery-science,5.4,Health,2015,6,owensrecoveryscience.com,5.4 M,2657%,50000,60.98%,Secure,137
https://www.inc.com/profile/winit,6.5,Consumer Products & Services,2014,6,appwinit.com,6.5 M,2636%,50000,73.70%,Secure,138
https://www.inc.com/profile/techolution,9.8,IT System Development,2014,176,techolution.com,9.8 M,2634%,50000,35.50%,Secure,139
https://www.inc.com/profile/solvix-solutions,20.4,Computer Hardware,2013,NA,solvixsolutions.com,20.4 M,2624%,50000,84.73%,Secure,140
https://www.inc.com/profile/lovebug-probiotics,3.1,Consumer Products & Services,2015,NA,lovebugprobiotics.com,3.1 M,2621%,50000,73.53%,Secure,141
https://www.inc.com/profile/nationwide-pharmaceutical,7.1,Government Services,2014,12,nationwidepharmaceutical.com,7.1 M,2618%,NA,NA,Secure,142
https://www.inc.com/profile/freedom-forever,101.1,Energy,2013,358,freedomforever.com,101.1 M,2603%,50000,13.18%,Secure,143
https://www.inc.com/profile/alpha-omega-integration,25.1,Government Services,2010,145,alphaomegaintegration.com,25.1 M,2596%,50000,72.13%,Not Secure,144
https://www.inc.com/profile/arsenal-strength,4.7,Business Products & Services,2014,4,myarsenalstrength.com,4.7 M,2579%,50000,86.42%,Secure,145
https://www.inc.com/profile/capital-brand-group,3.5,Construction,2013,16,capitalbrandgroup.com,3.5 M,2564%,NA,NA,Secure,146
https://www.inc.com/profile/fedwriters,5.4,Government Services,2010,NA,fedwriters.com,5.4 M,2556%,50000,34.05%,Secure,147
https://www.inc.com/profile/sethmar-transportation,9.2,Logistics & Transportation,1999,18,sethmar.com,9.2 M,2540%,50000,NA,Secure,148
https://www.inc.com/profile/hyperion-partners,18.5,Telecommunications,2012,36,hyperionpartners.net,18.5 M,2526%,50000,43.98%,Secure,149
https://www.inc.com/profile/arcalea,2.8,Advertising & Marketing,2015,NA,arcalea.com,2.8 M,2514%,50000,65.35%,Secure,150
https://www.inc.com/profile/haga-kommer,5.5,Financial Services,2006,55,hagakommer.com,5.5 M,2507%,50000,100.00%,Secure,151
https://www.inc.com/profile/waggl,4.4,Software,2014,55,waggl.com,4.4 M,2482%,50000,20.12%,Secure,152
https://www.inc.com/profile/roman-roofing,21.8,Construction,2015,71,romanroofinginc.com,21.8 M,2482%,50000,36.12%,Secure,153
https://www.inc.com/profile/akumina,4.4,Software,2011,48,akumina.com,4.4 M,2475%,50000,37.49%,Secure,154
https://www.inc.com/profile/shipmonk,28.4,Logistics & Transportation,2014,350,shipmonk.com,28.4 M,2470%,NA,24.08%,Secure,155
https://www.inc.com/profile/brillmediaco,4,Advertising & Marketing,2013,5,brillmedia.co,4 M,2466%,50000,53.95%,Secure,156
https://www.inc.com/profile/rocket-insights,13.6,Software,2015,58,rocketinsights.com,13.6 M,2418%,50000,58.68%,Not Secure,157
https://www.inc.com/profile/tridant-solutions,3,Government Services,2005,42,tridantsolutions.com,3 M,2416%,50000,NA,Secure,158
https://www.inc.com/profile/esc-choice,20.6,Human Resources,2009,545,myesc.com,20.6 M,2412%,50000,50.21%,Secure,159
https://www.inc.com/profile/nugget,3,Consumer Products & Services,2014,15,nuggetcomfort.com,3 M,2392%,148840,36.52%,Secure,160
https://www.inc.com/profile/octopi-brewing,4.9,Manufacturing,2014,36,octopibrewing.com,4.9 M,2384%,50000,73.19%,Not Secure,161
https://www.inc.com/profile/knowbe4,72.3,Security,2010,NA,knowbe4.com,72.3 M,2370%,NA,15.58%,Secure,162
https://www.inc.com/profile/kinect-solar,13.3,Energy,2015,8,kinectsolar.com,13.3 M,2358%,50000,91.36%,Secure,163
https://www.inc.com/profile/compliancequest,2.5,Software,2013,60,compliancequest.com,2.5 M,2357%,50000,94.42%,Secure,164
https://www.inc.com/profile/decisionpoint,15.9,IT Management,2011,100,decisionpointcorp.com,15.9 M,2354%,50000,4.65%,Not Secure,165
https://www.inc.com/profile/bombas,100.8,Consumer Products & Services,2013,NA,bombas.com,100.8 M,2345%,NA,30.65%,Secure,166
https://www.inc.com/profile/bombas,100.8,Consumer Products & Services,2013,NA,bombas.com,100.8 M,2345%,949550,30.65%,Secure,835
https://www.inc.com/profile/jonas-paul-eyewear,3,Consumer Products & Services,2013,12,jonaspauleyewear.com,3 M,2340%,NA,64.00%,Secure,167
https://www.inc.com/profile/tamimi-pharmacy,15.5,Health,2013,40,salhabpharmacy.com,15.5 M,2314%,NA,54.49%,Secure,168
https://www.inc.com/profile/ad-hoc,53.1,Government Services,2014,199,adhoc.team,53.1 M,2305%,50000,3.71%,Secure,169
https://www.inc.com/profile/valify,3.1,Software,2014,NA,getvalify.com,3.1 M,2276%,50000,13.12%,Secure,170
https://www.inc.com/profile/sapper-consulting,6.4,Advertising & Marketing,2014,90,sapperconsulting.com,6.4 M,2274%,50000,41.39%,Secure,171
https://www.inc.com/profile/privy,3,Advertising & Marketing,2012,30,privy.com,3 M,2263%,NA,9.86%,Secure,172
https://www.inc.com/profile/scooch,5.7,Consumer Products & Services,2015,8,scoochcase.com,5.7 M,2248%,50000,45.65%,Secure,173
https://www.inc.com/profile/monkedia,17.4,Advertising & Marketing,2014,NA,monkedia.com,17.4 M,2240%,50000,27.93%,Secure,174
https://www.inc.com/profile/upshow,2.6,Business Products & Services,2015,30,upshow.tv,2.6 M,2236%,50000,7.59%,Secure,175
https://www.inc.com/profile/campuslogic,14.2,Software,2011,105,campuslogic.com,14.2 M,2234%,NA,72.93%,Secure,176
https://www.inc.com/profile/pcc-cleaning-and-maintenance,12,Environmental Services,2015,80,pcccleaning.com,12 M,2231%,50000,NA,Not Secure,177
